College Board Code,School Name,Course Record ID,Course Title,Transcript Abbreviation(s),Course Number(s),Course Length,Subject Area,Discipline,UC Honors Designation,CTE Industry Sector,CTE Pathway,school_code
052891,Canyon Hills High School,WHBRCX,Financial Math,FINANCIAL MATH 1-2 (P),"0760,0762",Full Year,College-Preparatory Elective (G),Mathematics,None,,,357
052891,Canyon Hills High School,FB3J5D,"Graphic Design 3,4 Honors","GRAPHIC DES 3,4 HNRS (HP)","3503, 3504",Full Year,College-Preparatory Elective (G),Visual & Performing Arts,Honors,"Arts, Media, and Entertainment","Design, Visual and Media Arts",357
052891,Canyon Hills High School,ELQGS7,"American Literature 1,2","AMERICAN LITERATURE 1, 2/AM LIT 1,2(P),AM LIT 1 P,AM LIT 2 P","1583, 1584,1583,1584",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,EG3M4B,AP English Language and Composition,"English Lang/Comp 1,2 AP / ENGLGCP1,2AP (HP)","1655, 1656",Full Year,English (B),English,AP,,,357
052891,Canyon Hills High School,G7MDKS,AP English Literature and Composition,"ENGLITCP1,2AP (HP),ENG LIT 1,2AP (HP)","1653, 1654,1498/1499",Full Year,English (B),English,AP,,,357
052891,Canyon Hills High School,YN8TER,Bullets of Truth: English and Public Services,"UCCI BUL TRTH ENGL 1,2 (P)","4881, 4882",Full Year,English (B),English,None,Public Services,Public Safety,357
052891,Canyon Hills High School,CXJPGA,CSU Expository Reading and Writing,"ERWC 1,2 (P)","1698, 1699",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,F3TBKM,"English 1,2: Identity and Relationships","ENG: IDENT & RELATIONSHPS 1,2 (P)","1371, 1372",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,HTSR7B,English Language Arts 10,"EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1897, 1898,1897,1898,1897R, 1898R",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,KBF685,English Language Arts 11 ,"EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1924, 1925,1924,1925,1924R, 1925R",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,MEBNG5,English Language Arts 12 ,"EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1926, 1927,1926R, 1927R",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,DWGT7S,English Language Arts 9 ,"EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1895, 1896,1895R, 1896R",Full Year,English (B),English,None,,,357
052891,Canyon Hills High School,LCABCL5,"Honors American Literature 1,2 (H)","AM LT 1,2 HRS(HP)","1589, 1590",Full Year,English (B),English,Honors,,,357
052891,Canyon Hills High School,K6YG42,"ELD 5,6","ELD 5,6 (P)",1579/1580,Full Year,English (B),English as a Second Language (ESL) / English Language Development (ELD),None,,,357
052891,Canyon Hills High School,IHXZACM,AP Government and Politics United States,GOV&P: US AP (HP),6839/6839S,Half Year,History / Social Science (A),Civics / American Government,AP,,,357
052891,Canyon Hills High School,M4K8QD,Government 1,"GOVERNMENT 1/GOVERNMENT1 (P),GOVERNMENT 1P","6757,6757",Half Year,History / Social Science (A),Civics / American Government,None,,,357
052891,Canyon Hills High School,XG5DF3,Principles of American Democracy ,"EDG CA PR/AM/DEMOC (P),EDG CA PR/AM/DEMOC CR (P),EDG CA PRAMDEMOCP,EDG CA PRAMDEMOC CRP","6717,6717R,6717,6717R",Half Year,History / Social Science (A),Civics / American Government,None,,,357
052891,Canyon Hills High School,MK49EBQ,AP United States History,"US HST 1,2 AP (HP),US HST 1 APHP","6721, 6722,6721",Full Year,History / Social Science (A),U.S. History,AP,,,357
052891,Canyon Hills High School,HKGLYM,"Honors U.S. History & Geography 1,2 (H)","USH&GE2HR (HP),USH&GE1HR (HP),USH&GE1HR  HP,USH&GE2 HR HP","6712,6711,6711,6712",Full Year,History / Social Science (A),U.S. History,Honors,,,357
052891,Canyon Hills High School,E5AX98,"U.S. History & Geography 1,2","US HST/GEO 1,2(P),US HSTGEO 1P,US HSTGEO 2P","6701,6702,6701,6702",Full Year,History / Social Science (A),U.S. History,None,,,357
052891,Canyon Hills High School,GTMA9X,U.S. History and Geography ,"EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6709, 6710,6709R, 6710R,6709,6710",Full Year,History / Social Science (A),U.S. History,None,,,357
052891,Canyon Hills High School,GN2SXG,U.S. History and Public Health,"UCCI US HST PUB HLTH 1,2 (HP)","6083,6084",Full Year,History / Social Science (A),U.S. History,Honors,Health Science and Medical Technology,Public and Community Health,357
052891,Canyon Hills High School,MGFYQR,AP World History,"WD HST:MODERN 1,2 AP (HP),WD HST1,2 AP (HP)","6639, 6640,6639, 6640",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,AP,,,357
052891,Canyon Hills High School,N9GME2,"Modern World History & Geography 1,2","MD WD HST/G1,2 (P),MD WD HSTG1P,MD WD HSTG2P","6605, 6606,6605,6606",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,357
052891,Canyon Hills High School,E95XB4,"World History 1,2 Advanced","World History 1,2 Advanced / W HST 1,2 ADV(P),W HST 1 ADVP,W HST 2 ADVP","6645,6646,6645,6646",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,357
052891,Canyon Hills High School,MDX2BK,"World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6707, 6708,6707,6708,6707R, 6708R",Full Year,History / Social Science (A),World History / Cultures / Historical Geography,None,,,357
052891,Canyon Hills High School,TGK2PN,"American Sign Language 1,2","AM SIGN LG 1,2(P)","2384, 2385",Full Year,Language Other than English (E),LOTE Level 1,None,,,357
052891,Canyon Hills High School,HF76CJ,French I ,"EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4771, 4772,4771,4772,4771R,4772R",Full Year,Language Other than English (E),LOTE Level 1,None,,,357
052891,Canyon Hills High School,GH5BXT,"Spanish 1,2","SPN 1-2 (P),SPN 1P,SPN 2P","2321/2322,2321,2322",Full Year,Language Other than English (E),LOTE Level 1,None,,,357
052891,Canyon Hills High School,HJ2GCR,Spanish I ,"EDG SPN I A, B (P),EDG SPN I A P,EDG SPN I B P,EDG SPN I A CR (P),EDG SPN I B CR (P)","4715, 4716,4715,4716,4715R,4716R",Full Year,Language Other than English (E),LOTE Level 1,None,,,357
052891,Canyon Hills High School,YBGHYJ,"American Sign Language 3,4","AM SIGN LG 3,4 (P)","2386,2387",Full Year,Language Other than English (E),LOTE Level 2,None,,,357
052891,Canyon Hills High School,MS7K53,French II ,"EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4773, 4774,4773,4774,4773R,4774R",Full Year,Language Other than English (E),LOTE Level 2,None,,,357
052891,Canyon Hills High School,NQFEBZ,Spanish 3-4,"SPN 3-4 (P),SPN 3P,SPN 4P","2323/2324,2323,2324",Full Year,Language Other than English (E),LOTE Level 2,None,,,357
052891,Canyon Hills High School,CTSA5H,Spanish II ,"EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4717,4718,4717R,4718R",Full Year,Language Other than English (E),LOTE Level 2,None,,,357
052891,Canyon Hills High School,RHCNQ5,French III ,"EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4775, 4776,4775R,4776R,4775,4776",Full Year,Language Other than English (E),LOTE Level 3,None,,,357
052891,Canyon Hills High School,Q2QRN8,Spanish 5-6,"SPN 5P,SPN 5,6 (P),SPN 6P","2325,2325,2326,2326",Full Year,Language Other than English (E),LOTE Level 3,None,,,357
052891,Canyon Hills High School,FDNXAH,Spanish III ,"EDG SPN III A, B (P),EDG SPN III A P,EDG SPN III B P,EDG SPN III A CR (P),EDG SPN III B CR (P)","4722, 4723,4722,4723,4722R,4723R",Full Year,Language Other than English (E),LOTE Level 3,None,,,357
052891,Canyon Hills High School,NK6Z5T,AP Spanish Language and Culture,"SPN LNG 1,2 AP (HP),EDG AP SPAN LANG 1-2 (HP),EDG SPN LNG 1,2 AP (HP),SPN LNG1 APHP,SPN LNG2 APHP","2333, 2334,4736, 4737,4736, 4737,2333,2334",Full Year,Language Other than English (E),LOTE Level 4+,AP,,,357
052891,Canyon Hills High School,QM4DYJ,Integrated Math I A-B,INTEG MATH I A-B (P),4157-4158,Full Year,Mathematics (C),Mathematics I,None,,,357
052891,Canyon Hills High School,LRFNHL,Integrated Mathematics I Advanced,"INTG MATH I A ADV,INTG MATH I B ADV,INTG MATH I A ADVP,INTG MATH I B ADVP","4165,4166,4165,4166",Full Year,Mathematics (C),Mathematics I,None,,,357
052891,Canyon Hills High School,CPYS2F,Mathematics I,"EDG MATHEMATICS I A-B (P),EDG MATHEMATICS I A-B CR (P),EDG MATHEMATICS I AP,EDG MATHEMATICS I BP","4742, 4743,4742R, 4743R,4742,4743",Full Year,Mathematics (C),Mathematics I,None,,,357
052891,Canyon Hills High School,P3JN76,Integrated Math II A-B,INTEG MATH II A-B (P),4159-4160,Full Year,Mathematics (C),Mathematics II,None,,,357
052891,Canyon Hills High School,GY7P83,Integrated Mathematics II Advanced,"INTG MATH II A ADV,INTG MATH II B ADV,INTG MATH II A ADVP,INTG MATH II B ADVP","4167,4168,4167,4168",Full Year,Mathematics (C),Mathematics II,None,,,357
052891,Canyon Hills High School,AKR3LF,Mathematics II,"EDG MATHEMATICS II A-B (P),EDG MATHEMATICS II A-B CR (P),EDG MATHEMATICS II AP,EDG MATHEMATICS II BP","4744, 4745,4744R, 4745R,4744,4745",Full Year,Mathematics (C),Mathematics II,None,,,357
052891,Canyon Hills High School,BP3HZA,Integrated Math III A-B,"INT MATH III A-B,INTG MATH III AP,INTG MATH III BP","4163, 4164,4163,4164",Full Year,Mathematics (C),Mathematics III,None,,,357
052891,Canyon Hills High School,RN4Z2H8,"Integrated Math III, Advanced","INTG MATH III A,B ADV,INTG MATH III A ADVP,INTG MATH III B ADVP","4169, 4170,4169,4170",Full Year,Mathematics (C),Mathematics III,None,,,357
052891,Canyon Hills High School,D6RASL,Mathematics III,"EDG MATHEMATICS III A-B (P),EDG MATHEMATICS III A-B CR (P),EDG MATHEMATICS III AP,EDG MATHEMATICS III BP","4746, 4747,4746R, 4747R,4746,4747",Full Year,Mathematics (C),Mathematics III,None,,,357
052891,Canyon Hills High School,NFC7TS,Precalculus 1-2,"Precalculus 1,2 / PRCAL1,2 (P),PRCAL1 P,PRCAL2 P","4161, 4162,4161,4162",Full Year,Mathematics (C),Other Advanced Mathematics,None,,,357
052891,Canyon Hills High School,F82H7S,Precalculus 1-2 Honors,"PRCAL1-2 HR (HP),PRCAL1 HR  HP,PRCAL2 HR  HP","4181, 4182,4181,4182",Full Year,Mathematics (C),Other Advanced Mathematics,Honors,,,357
052891,Canyon Hills High School,H25WZL,Statistics & Data Analysis 1-2,"STATDAT AN 1P,STATDAT AN 2P,Statistics & Data Analysis 1,2 / STATDAT AN 1,2(P)","4046,4047,4046, 4047",Full Year,Mathematics (C),Other Advanced Mathematics,None,,,357
052891,Canyon Hills High School,S4PLYE,Pre-Calculus ,"EDG CC PRECAL 1-2 (P),EDG CC PRECAL 1-2 CR (P)","4263-4264,4263R, 4264R",Full Year,Mathematics (C),Pre-Calculus,None,,,357
052891,Canyon Hills High School,MJP6RKZ,AP Statistics,"STATS 1,2 AP (HP)",4055/4056,Full Year,Mathematics (C),Statistics,AP,,,357
052891,Canyon Hills High School,KDG7BPD,AP Biology,"BIO 1,2 AP (HP)","6191, 6192",Full Year,Science (D),Biology / Life Sciences,AP,,,357
052891,Canyon Hills High School,NZYRKN,"Biology 1,2","BIOLOGY 1(P),BIOLOGY 2(P),BIOLOGY 1P,BIOLOGY 2P","6111,6112,6111,6112",Full Year,Science (D),Biology / Life Sciences,None,,,357
052891,Canyon Hills High School,TT5C8Q,Honors  PLTW Medical Interventions,"HNRS PLTW MED INTERV 1,2 (HP)","8339, 8340",Full Year,Science (D),Biology / Life Sciences,Honors,Health Science and Medical Technology,Biotechnology,357
052891,Canyon Hills High School,SMR9BZ,Honors PLTW  Biomedical Innovation,"HNRS PLTW BIOMED INNOVA 1,2 (HP)","8329, 8330",Full Year,Science (D),Biology / Life Sciences,Honors,Health Science and Medical Technology,Biotechnology,357
052891,Canyon Hills High School,GZGPT8,Honors PLTW  Principles of Biomedical Science,"HNRS PLTW PR BIOMED SC1,2 (HP)","3301, 3302",Full Year,Science (D),Biology / Life Sciences,Honors,Health Science and Medical Technology,Biotechnology,357
052891,Canyon Hills High School,D8NFDL,Honors PLTW Human Body Systems,"HNRS PLTW HUM BODY SYS1,2 (HP)","3303, 3304",Full Year,Science (D),Biology / Life Sciences,Honors,Health Science and Medical Technology,Biotechnology,357
052891,Canyon Hills High School,NZR4D2,"Physiology 1,2","PHYSIOL 1,2 (P)","6151, 6152",Full Year,Science (D),Biology / Life Sciences,None,,,357
052891,Canyon Hills High School,FMT5SA,Biology: The Living Earth,"BIO LIVING EARTH1,2 (P)","6238,6239",Full Year,Science (D),Biology/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,N76Z4T,The Living Earth with Labs,"EDG LIVEARTH W/LABS1,2 (P),EDG LIVEARTH WLABS1,2CR (P)","6253, 6254,6253R, 6254R",Full Year,Science (D),Biology/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,QRTXS6,AP Chemistry,"CHEM 1,2 AP (HP)","6291,6292",Full Year,Science (D),Chemistry,AP,,,357
052891,Canyon Hills High School,C4BPJZ,Chemistry 1/2,"Chemistry 1,2 / CHEMISTRY 1,2(P),CHEMISTRY 1P,CHEMISTRY 2P","6211, 6212,6211,6212",Full Year,Science (D),Chemistry,None,,,357
052891,Canyon Hills High School,DQ5ZJG,Chemistry in the Earth System,"CHEM EARTH SYS1,2 (P)","6248,6249",Full Year,Science (D),Chemistry/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,KB72WT,Chemistry in the Earth System with Labs,"EDG CHEM ES W/LABS 1,2 (P),EDG CHEM ES WLABS 1,2 CR (P)","6251, 6252,6251R, 6152R",Full Year,Science (D),Chemistry/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,HG2E8K,Honors Chemistry in the Earth System,"CHEM EARTH SYS1,2 HNRS(HP)","6258,6259",Full Year,Science (D),Chemistry/Earth & Space Sciences,Honors,,,357
052891,Canyon Hills High School,BL3Y97,AP Computer Science Principles,"COMP SCI PR 1,2 AP (HP),CS PRINCIPLES 1,2 AP (HP)","4463,4464,4463,4464",Full Year,Science (D),Computer Science,AP,Information and Communication Technologies,Software and Systems Development,357
052891,Canyon Hills High School,MRDJB8,Honors  PLTW Principles of Engineering,"HNRS PLTW PRN OF ENGR1,2 (HP),HNRS PLTW PRN OF ENGR1 HP,HNRS PLTW PRN OF ENGR2 HP","8368, 8369,8368,8369",Full Year,Science (D),Engineering,Honors,Engineering and Architecture,Engineering Technology,357
052891,Canyon Hills High School,WEKSP3,Honors PLTW Computer Integrated Manufacturing,"HNRS PLTW CIM 1,2 (HP)","3663, 3664",Full Year,Science (D),Engineering,Honors,Engineering and Architecture,Engineering Technology,357
052891,Canyon Hills High School,A2KXLF,Honors PLTW Digital Electronics,"HNRS PLTW DIG ELECT 1,2 (HP)","8979, 8989",Full Year,Science (D),Engineering,Honors,Engineering and Architecture,Engineering Technology,357
052891,Canyon Hills High School,BDEKW8,Honors PLTW Engineering Design and Development,"HNRS PLTW ENG DES&DEV1,2 (HP),HNRS PLTW ENG DES&DEV1 HP,HNRS PLTW ENG DES&DEV2 HP","8383, 8384,8383,8384",Full Year,Science (D),Engineering,Honors,Engineering and Architecture,Engineering Design,357
052891,Canyon Hills High School,N6XTD5,PLTW Principles of Engineering,"PRN OF ENGR 1,2,PRN OF ENGR 1 (P),PRN OF ENGR 2 (P)","8847,8848,8847,8848",Full Year,Science (D),Engineering,None,Engineering and Architecture,Engineering Technology,357
052891,Canyon Hills High School,LLJTZ4R,AP Environmental Science,"ENV SCI2 APHP,ENV SCI1 APHP,ENV SCI 1,2 AP (HP)","6456,6455,6455, 6456",Full Year,Science (D),Interdisciplinary Sciences,AP,,,357
052891,Canyon Hills High School,WEQBM7,"Green Up and Go: The Physics of ""Clean"" Engineering","UCCI GREEN UP 1,2 (P)","6240, 6241",Full Year,Science (D),Physics,None,Engineering and Architecture,Engineering Technology,357
052891,Canyon Hills High School,LW83XT,"Physics 1,2","PHYSICS 2(P),PHYSICS 1(P),PHYSICS 1P,PHYSICS 2P","6312,6311,6311,6312",Full Year,Science (D),Physics,None,,,357
052891,Canyon Hills High School,T3A8TY,Physics in the Universe with Labs,"EDG PHYS UNV W/LABS 1,2 (P),EDG PHY UNV WLABS1,2CR (P)","6255, 6256,6255R, 6256R",Full Year,Science (D),Physics/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,FTYEMC,Physics of the Universe,"PHYSICS UNIVERSE1,2 (P)","6244,6245",Full Year,Science (D),Physics/Earth & Space Sciences,None,,,357
052891,Canyon Hills High School,HGBKT7,"Band 1,2","BAND 1 P,BAND 2 P,BAND 1,2 (P)","5020,5021,5020,5021",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,BAK8HW,"Band 3,4","BAND 3 P,BAND 4 P,BAND 3,4 (P)","5320,5321,5320,5321",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,JQPT9A,"Band 5,6","BAND 5 P,BAND 6 P,BAND 5,6 (P)","5325,5326,5325,5326",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,A6P35C,"Band 7,8","BAND 7 P,BAND 8 P,BAND 7,8 (P)","5322,5323,5322,5323",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,TRAZJ5,"Band 7,8 Honors","BAND 7,8 HNRS (HP)","5327, 5328",Full Year,Visual & Performing Arts (F),Music,Honors,,,357
052891,Canyon Hills High School,WW2MYB,"Choir 1,2","CHOIR 1 P,CHOIR 2 P,CHOIR 1,2 (P)","5050,5051,5050,5051",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,EM7DPE,"Choir 3,4","CHOIR 3 P,CHOIR 4 P,CHOIR 3,4 (P)","5055,5056,5055,5056",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,ZABFKZ,"Choir 5,6","CHOIR 5 P,CHOIR 6 P,CHOIR 5,6 (P)","5060,5061,5060,5061",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,SJRG5D,"Choir 7,8","CHOIR 7,8 (P)","5360,5361",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,DYD4BF,"Choir 7,8 Honors","CHOIR 7 HNRSHP,CHOIR 8 HNRSHP,CHOIR 7,8 HNRS (HP)","5057,5058,5057,5058",Full Year,Visual & Performing Arts (F),Music,Honors,,,357
052891,Canyon Hills High School,SD72W8,"Guitar 1,2","GUITAR 1,2 (P)",5391/5392,Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,RHL34X,"Jazz Ensemble 1,2","JAZZ ENSMBL1P,JAZZ ENSMBL2P,JAZZ ENSMBL1,2 (P)","5330,5331,5330,5331",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,MK9S72,"Jazz Ensemble 3,4","JAZZ ENSMBL3P,JAZZ ENSMBL4P,JAZZ ENSMBL 3,4 (P)","5332,5333,5332,5333",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,H74MCJ,"Jazz Ensemble 5,6","JAZZ ENSMBL 5,6,JAZZ ENSMBL5P,JAZZ ENSMBL6P","5343, 5344,5343,5344",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,AL5SX8,"Jazz Ensemble 7,8","JAZZ ENSEMBL 7,8(P),JAZZ ENSMBL7P,JAZZ ENSMBL8P","5345, 5346,5345,5346",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,ET7JWA,"Jazz Ensemble 7,8 Honors","JAZZ ENSMBL 7,8 HNRS (HP)","5349,5350",Full Year,Visual & Performing Arts (F),Music,Honors,,,357
052891,Canyon Hills High School,FYFP36,"Orchestra 1,2","ORCHESTRA 1 P,ORCHESTRA 2 P,ORCHESTR 1,2 (P)","5335,5336,5335,5336",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,MKK3J7W,"Orchestra 3,4","ORCHESTRA 3P,ORCHESTRA 4P,ORCHESTRA 3,4 (P)","5337,5338,5337,5338",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,ZLD4JN,"Orchestra 5,6","ORCHESTRA 5P,ORCHESTRA 6P,ORCHESTRA 5,6 (P)","5339,5340,5339,5340",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,XX978J,"Orchestra 7,8","ORCHESTRA 7P,ORCHESTRA 8P,ORCHESTRA 7,8 (P)","5341,5342,5341,5342",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,YZ2S8L,"Orchestra 7,8 Honors","ORCHESTRA 7,8 HNRS,ORCHESTRA 7 HNRSHP,ORCHESTRA 8 HNRSHP","5347, 5348,5347,5348",Full Year,Visual & Performing Arts (F),Music,Honors,,,357
052891,Canyon Hills High School,YX2RMB,"Theatre: Musical 1,2","THEATRE:MUS1(P),THEATRE:MUS2(P)","1411,1412",Full Year,Visual & Performing Arts (F),Music,None,,,357
052891,Canyon Hills High School,JPR9EQG,Technical Theatre 1/2,"TECH THTR 1,2(P)","1413, 1414",Full Year,Visual & Performing Arts (F),Theater,None,"Arts, Media, and Entertainment",Production and Managerial Arts,357
052891,Canyon Hills High School,JK96JY4,"Technical Theatre 3,4","TECHTHEATRE 3,4 (P)","1462, 1463",Full Year,Visual & Performing Arts (F),Theater,None,,,357
052891,Canyon Hills High School,OL4PE93,"Theatre 1,2","THEATRE 1 P,THEATRE 2 P,THEATRE 1,2 (P)","1423,1424,1423, 1424",Full Year,Visual & Performing Arts (F),Theater,None,,,357
052891,Canyon Hills High School,OMLSCPN,"Theatre 3,4","THEATRE 3 P,THEATRE 4 P,THEATRE 3,4 (P)","1425,1426,1425, 1426",Full Year,Visual & Performing Arts (F),Theater,None,,,357
052891,Canyon Hills High School,MH4EABY,"Theatre 5,6","THEATRE 5,6 (P)","1427, 1428",Full Year,Visual & Performing Arts (F),Theater,None,,,357
