"id","college_board_id","school_name","course_record_id","course_title","transcript_abbreviation","course_number","course_length","subject_area","discipline","uc_honors","cte_industry_sector","cte_pathway","school_code"
"18","052891","Canyon Hills High School","DCJGP3","Art History I ","EDG ART HIST I (P)","0416","Half Year","G","Interdisciplinary","None","","","357"
"19","052891","Canyon Hills High School","TA7D3N","ASB Leadership 1,2","ASB LEADERSHIP 1,2 (P)","0850","Full Year","G","Interdisciplinary","None","","","357"
"20","052891","Canyon Hills High School","TA7D3N","ASB Leadership 1,2","ASB LEADERSHIP 1,2 (P)","0851","Full Year","G","Interdisciplinary","None","","","357"
"21","052891","Canyon Hills High School","FS7YWQ","AVID 10","AVID 10 A P,AVID 10 B P,AVID 10 A, B (P)","8209","Full Year","G","Interdisciplinary","None","","","357"
"22","052891","Canyon Hills High School","FS7YWQ","AVID 10","AVID 10 A P,AVID 10 B P,AVID 10 A, B (P)","8210","Full Year","G","Interdisciplinary","None","","","357"
"23","052891","Canyon Hills High School","EWH46Q","AVID 11","AVID 11 A P,AVID 11 B P,AVID 11 A, B (P)","8227","Full Year","G","Interdisciplinary","None","","","357"
"24","052891","Canyon Hills High School","EWH46Q","AVID 11","AVID 11 A P,AVID 11 B P,AVID 11 A, B (P)","8228","Full Year","G","Interdisciplinary","None","","","357"
"25","052891","Canyon Hills High School","QWZ9RJ","AVID 12","AVID 12 A, B (P),AVID 12 A P,AVID 12 B P","8221","Full Year","G","Interdisciplinary","None","","","357"
"26","052891","Canyon Hills High School","QWZ9RJ","AVID 12","AVID 12 A, B (P),AVID 12 A P,AVID 12 B P","8222","Full Year","G","Interdisciplinary","None","","","357"
"27","052891","Canyon Hills High School","QSEHBY","AVID 9","AVID 9 A P,AVID 9 B P,AVID 9 A,B (P)","8207","Full Year","G","Interdisciplinary","None","","","357"
"28","052891","Canyon Hills High School","QSEHBY","AVID 9","AVID 9 A P,AVID 9 B P,AVID 9 A,B (P)","8208","Full Year","G","Interdisciplinary","None","","","357"
"29","052891","Canyon Hills High School","ZBK6XJ","Business 100","BUSINESS 100 1,2 (P)","0514","Full Year","G","Interdisciplinary","None","Finance and Business","Business Management","357"
"30","052891","Canyon Hills High School","ZBK6XJ","Business 100","BUSINESS 100 1,2 (P)","0515","Full Year","G","Interdisciplinary","None","Finance and Business","Business Management","357"
"31","052891","Canyon Hills High School","EBCE29","CA-Contemporary Health","EDG CA Health (P)","2562","Half Year","G","Interdisciplinary","None","","","357"
"32","052891","Canyon Hills High School","NL58NJ","Career Pathway Internship","CAREER INTERNSHIP 1,2 (P)","0833","Full Year","G","Interdisciplinary","None","","","357"
"33","052891","Canyon Hills High School","NL58NJ","Career Pathway Internship","CAREER INTERNSHIP 1,2 (P)","0834","Full Year","G","Interdisciplinary","None","","","357"
"34","052891","Canyon Hills High School","TYM7K9","Introduction to Coding","EDG INTR CODING (P)","3689","Half Year","G","Interdisciplinary","None","","","357"
"35","052891","Canyon Hills High School","HNZYH2","NAVAL JROTC ELECTIVE 5,6","NJROTC ELECT 5,6 (P)","4585","Full Year","G","Interdisciplinary","None","","","357"
"36","052891","Canyon Hills High School","HNZYH2","NAVAL JROTC ELECTIVE 5,6","NJROTC ELECT 5,6 (P)","4586","Full Year","G","Interdisciplinary","None","","","357"
"37","052891","Canyon Hills High School","C3QX89","Naval JROTC Elective 7,8","NJROTC ELECT 7,8 (P)","4587","Full Year","G","Interdisciplinary","None","","","357"
"38","052891","Canyon Hills High School","C3QX89","Naval JROTC Elective 7,8","NJROTC ELECT 7,8 (P)","4588","Full Year","G","Interdisciplinary","None","","","357"
"39","052891","Canyon Hills High School","CAQMPL","Personal Finance","EDG PERSONAL FINANCE (P)","6720","Half Year","G","Interdisciplinary","None","","","357"
"40","052891","Canyon Hills High School","LWX6HJ","Theatrical Management and Design 1,2","THEATR MGMT/DSGN 1 (P),THEATR MGMT/DSGN 2 (P)","0685","Full Year","G","Interdisciplinary","None","Arts, Media, and Entertainment","Production and Managerial Arts","357"
"41","052891","Canyon Hills High School","LWX6HJ","Theatrical Management and Design 1,2","THEATR MGMT/DSGN 1 (P),THEATR MGMT/DSGN 2 (P)","0686","Full Year","G","Interdisciplinary","None","Arts, Media, and Entertainment","Production and Managerial Arts","357"
"42","052891","Canyon Hills High School","BDG2QW","Yearbook","PUBL/YRBK 9-12 (P)","8421","Full Year","G","Interdisciplinary","None","","","357"
"43","052891","Canyon Hills High School","WHBRCX","Financial Math","FINANCIAL MATH 1-2 (P)","0760","Full Year","G","Mathematics","None","","","357"
"44","052891","Canyon Hills High School","WHBRCX","Financial Math","FINANCIAL MATH 1-2 (P)","0762","Full Year","G","Mathematics","None","","","357"
"45","052891","Canyon Hills High School","FB3J5D","Graphic Design 3,4 Honors","GRAPHIC DES 3,4 HNRS (HP)","3503","Full Year","G","Visual & Performing Arts","Honors","Arts, Media, and Entertainment","Design, Visual and Media Arts","357"
"46","052891","Canyon Hills High School","FB3J5D","Graphic Design 3,4 Honors","GRAPHIC DES 3,4 HNRS (HP)","3504","Full Year","G","Visual & Performing Arts","Honors","Arts, Media, and Entertainment","Design, Visual and Media Arts","357"
"47","052891","Canyon Hills High School","ELQGS7","American Literature 1,2","AMERICAN LITERATURE 1, 2/AM LIT 1,2(P),AM LIT 1 P,AM LIT 2 P","1583","Full Year","B","English","None","","","357"
"48","052891","Canyon Hills High School","ELQGS7","American Literature 1,2","AMERICAN LITERATURE 1, 2/AM LIT 1,2(P),AM LIT 1 P,AM LIT 2 P","1584","Full Year","B","English","None","","","357"
"49","052891","Canyon Hills High School","EG3M4B","AP English Language and Composition","English Lang/Comp 1,2 AP / ENGLGCP1,2AP (HP)","1655","Full Year","B","English","AP","","","357"
"50","052891","Canyon Hills High School","EG3M4B","AP English Language and Composition","English Lang/Comp 1,2 AP / ENGLGCP1,2AP (HP)","1656","Full Year","B","English","AP","","","357"
"51","052891","Canyon Hills High School","G7MDKS","AP English Literature and Composition","ENGLITCP1,2AP (HP),ENG LIT 1,2AP (HP)","1653","Full Year","B","English","AP","","","357"
"52","052891","Canyon Hills High School","G7MDKS","AP English Literature and Composition","ENGLITCP1,2AP (HP),ENG LIT 1,2AP (HP)","1654","Full Year","B","English","AP","","","357"
"53","052891","Canyon Hills High School","G7MDKS","AP English Literature and Composition","ENGLITCP1,2AP (HP),ENG LIT 1,2AP (HP)","1498","Full Year","B","English","AP","","","357"
"54","052891","Canyon Hills High School","G7MDKS","AP English Literature and Composition","ENGLITCP1,2AP (HP),ENG LIT 1,2AP (HP)","1499","Full Year","B","English","AP","","","357"
"55","052891","Canyon Hills High School","YN8TER","Bullets of Truth: English and Public Services","UCCI BUL TRTH ENGL 1,2 (P)","4881","Full Year","B","English","None","Public Services","Public Safety","357"
"56","052891","Canyon Hills High School","YN8TER","Bullets of Truth: English and Public Services","UCCI BUL TRTH ENGL 1,2 (P)","4882","Full Year","B","English","None","Public Services","Public Safety","357"
"57","052891","Canyon Hills High School","CXJPGA","CSU Expository Reading and Writing","ERWC 1,2 (P)","1698","Full Year","B","English","None","","","357"
"58","052891","Canyon Hills High School","CXJPGA","CSU Expository Reading and Writing","ERWC 1,2 (P)","1699","Full Year","B","English","None","","","357"
"59","052891","Canyon Hills High School","F3TBKM","English 1,2: Identity and Relationships","ENG: IDENT & RELATIONSHPS 1,2 (P)","1371","Full Year","B","English","None","","","357"
"60","052891","Canyon Hills High School","F3TBKM","English 1,2: Identity and Relationships","ENG: IDENT & RELATIONSHPS 1,2 (P)","1372","Full Year","B","English","None","","","357"
"61","052891","Canyon Hills High School","HTSR7B","English Language Arts 10","EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1897","Full Year","B","English","None","","","357"
"62","052891","Canyon Hills High School","HTSR7B","English Language Arts 10","EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1898","Full Year","B","English","None","","","357"
"63","052891","Canyon Hills High School","HTSR7B","English Language Arts 10","EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1897R","Full Year","B","English","None","","","357"
"64","052891","Canyon Hills High School","HTSR7B","English Language Arts 10","EDG CC ELA 10TH 1,2 (P),EDG CC ELA 10TH 1 P,EDG CC ELA 10TH 2 P,EDG CC ELA 10TH 1,2 CR (P)","1898R","Full Year","B","English","None","","","357"
"65","052891","Canyon Hills High School","KBF685","English Language Arts 11 ","EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1924","Full Year","B","English","None","","","357"
"66","052891","Canyon Hills High School","KBF685","English Language Arts 11 ","EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1925","Full Year","B","English","None","","","357"
"67","052891","Canyon Hills High School","KBF685","English Language Arts 11 ","EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1924R","Full Year","B","English","None","","","357"
"68","052891","Canyon Hills High School","KBF685","English Language Arts 11 ","EDG CC ELA 11TH 1,2 (P),EDG CC ELA 11TH 1 P,EDG CC ELA 11TH 2 P,EDG CC ELA 11TH 1,2 CR (P)","1925R","Full Year","B","English","None","","","357"
"69","052891","Canyon Hills High School","MEBNG5","English Language Arts 12 ","EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1926","Full Year","B","English","None","","","357"
"70","052891","Canyon Hills High School","MEBNG5","English Language Arts 12 ","EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1927","Full Year","B","English","None","","","357"
"71","052891","Canyon Hills High School","MEBNG5","English Language Arts 12 ","EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1926R","Full Year","B","English","None","","","357"
"72","052891","Canyon Hills High School","MEBNG5","English Language Arts 12 ","EDG CC ELA 12TH 1,2 (P),EDG CC ELA 12TH 1,2 CR (P)","1927R","Full Year","B","English","None","","","357"
"73","052891","Canyon Hills High School","DWGT7S","English Language Arts 9 ","EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1895","Full Year","B","English","None","","","357"
"74","052891","Canyon Hills High School","DWGT7S","English Language Arts 9 ","EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1896","Full Year","B","English","None","","","357"
"75","052891","Canyon Hills High School","DWGT7S","English Language Arts 9 ","EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1895R","Full Year","B","English","None","","","357"
"76","052891","Canyon Hills High School","DWGT7S","English Language Arts 9 ","EDG CALIFORNIA ELA 9TH 1,2 (P),EDG CALIFORNIA ELA 9TH 1,2 CR (P)","1896R","Full Year","B","English","None","","","357"
"77","052891","Canyon Hills High School","LCABCL5","Honors American Literature 1,2 (H)","AM LT 1,2 HRS(HP)","1589","Full Year","B","English","Honors","","","357"
"78","052891","Canyon Hills High School","LCABCL5","Honors American Literature 1,2 (H)","AM LT 1,2 HRS(HP)","1590","Full Year","B","English","Honors","","","357"
"79","052891","Canyon Hills High School","K6YG42","ELD 5,6","ELD 5,6 (P)","1579","Full Year","B","English as a Second Language (ESL) / English Language Development (ELD)","None","","","357"
"80","052891","Canyon Hills High School","K6YG42","ELD 5,6","ELD 5,6 (P)","1580","Full Year","B","English as a Second Language (ESL) / English Language Development (ELD)","None","","","357"
"81","052891","Canyon Hills High School","IHXZACM","AP Government and Politics United States","GOV&P: US AP (HP)","6839","Half Year","A","Civics / American Government","AP","","","357"
"82","052891","Canyon Hills High School","IHXZACM","AP Government and Politics United States","GOV&P: US AP (HP)","6839S","Half Year","A","Civics / American Government","AP","","","357"
"83","052891","Canyon Hills High School","M4K8QD","Government 1","GOVERNMENT 1/GOVERNMENT1 (P),GOVERNMENT 1P","6757","Half Year","A","Civics / American Government","None","","","357"
"84","052891","Canyon Hills High School","XG5DF3","Principles of American Democracy ","EDG CA PR/AM/DEMOC (P),EDG CA PR/AM/DEMOC CR (P),EDG CA PRAMDEMOCP,EDG CA PRAMDEMOC CRP","6717","Half Year","A","Civics / American Government","None","","","357"
"85","052891","Canyon Hills High School","XG5DF3","Principles of American Democracy ","EDG CA PR/AM/DEMOC (P),EDG CA PR/AM/DEMOC CR (P),EDG CA PRAMDEMOCP,EDG CA PRAMDEMOC CRP","6717R","Half Year","A","Civics / American Government","None","","","357"
"86","052891","Canyon Hills High School","MK49EBQ","AP United States History","US HST 1,2 AP (HP),US HST 1 APHP","6721","Full Year","A","U.S. History","AP","","","357"
"87","052891","Canyon Hills High School","MK49EBQ","AP United States History","US HST 1,2 AP (HP),US HST 1 APHP","6722","Full Year","A","U.S. History","AP","","","357"
"88","052891","Canyon Hills High School","HKGLYM","Honors U.S. History & Geography 1,2 (H)","USH&GE2HR (HP),USH&GE1HR (HP),USH&GE1HR  HP,USH&GE2 HR HP","6712","Full Year","A","U.S. History","Honors","","","357"
"89","052891","Canyon Hills High School","HKGLYM","Honors U.S. History & Geography 1,2 (H)","USH&GE2HR (HP),USH&GE1HR (HP),USH&GE1HR  HP,USH&GE2 HR HP","6711","Full Year","A","U.S. History","Honors","","","357"
"90","052891","Canyon Hills High School","E5AX98","U.S. History & Geography 1,2","US HST/GEO 1,2(P),US HSTGEO 1P,US HSTGEO 2P","6701","Full Year","A","U.S. History","None","","","357"
"91","052891","Canyon Hills High School","E5AX98","U.S. History & Geography 1,2","US HST/GEO 1,2(P),US HSTGEO 1P,US HSTGEO 2P","6702","Full Year","A","U.S. History","None","","","357"
"92","052891","Canyon Hills High School","GTMA9X","U.S. History and Geography ","EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6709","Full Year","A","U.S. History","None","","","357"
"93","052891","Canyon Hills High School","GTMA9X","U.S. History and Geography ","EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6710","Full Year","A","U.S. History","None","","","357"
"94","052891","Canyon Hills High School","GTMA9X","U.S. History and Geography ","EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6709R","Full Year","A","U.S. History","None","","","357"
"95","052891","Canyon Hills High School","GTMA9X","U.S. History and Geography ","EDG CA US HIST/GEOG 1,2 (P),EDG CA US HIST/GEOG 1,2 CR (P),EDG CA US HISTGEOG 1P (P),EDG CA US HISTGEOG 2P (P)","6710R","Full Year","A","U.S. History","None","","","357"
"96","052891","Canyon Hills High School","GN2SXG","U.S. History and Public Health","UCCI US HST PUB HLTH 1,2 (HP)","6083","Full Year","A","U.S. History","Honors","Health Science and Medical Technology","Public and Community Health","357"
"97","052891","Canyon Hills High School","GN2SXG","U.S. History and Public Health","UCCI US HST PUB HLTH 1,2 (HP)","6084","Full Year","A","U.S. History","Honors","Health Science and Medical Technology","Public and Community Health","357"
"98","052891","Canyon Hills High School","MGFYQR","AP World History","WD HST:MODERN 1,2 AP (HP),WD HST1,2 AP (HP)","6639","Full Year","A","World History / Cultures / Historical Geography","AP","","","357"
"99","052891","Canyon Hills High School","MGFYQR","AP World History","WD HST:MODERN 1,2 AP (HP),WD HST1,2 AP (HP)","6640","Full Year","A","World History / Cultures / Historical Geography","AP","","","357"
"100","052891","Canyon Hills High School","N9GME2","Modern World History & Geography 1,2","MD WD HST/G1,2 (P),MD WD HSTG1P,MD WD HSTG2P","6605","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"101","052891","Canyon Hills High School","N9GME2","Modern World History & Geography 1,2","MD WD HST/G1,2 (P),MD WD HSTG1P,MD WD HSTG2P","6606","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"102","052891","Canyon Hills High School","E95XB4","World History 1,2 Advanced","World History 1,2 Advanced / W HST 1,2 ADV(P),W HST 1 ADVP,W HST 2 ADVP","6645","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"103","052891","Canyon Hills High School","E95XB4","World History 1,2 Advanced","World History 1,2 Advanced / W HST 1,2 ADV(P),W HST 1 ADVP,W HST 2 ADVP","6646","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"104","052891","Canyon Hills High School","MDX2BK","World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6707","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"105","052891","Canyon Hills High School","MDX2BK","World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6708","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"106","052891","Canyon Hills High School","MDX2BK","World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6707R","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"107","052891","Canyon Hills High School","MDX2BK","World History, Culture, and Geography ","EDG CA WLD HIST 1,2 (P),EDG CA WLD HIST 1P,EDG CA WLD HIST 2P,EDG CA WLD HIST 1,2 CR (P)","6708R","Full Year","A","World History / Cultures / Historical Geography","None","","","357"
"108","052891","Canyon Hills High School","TGK2PN","American Sign Language 1,2","AM SIGN LG 1,2(P)","2384","Full Year","E","LOTE Level 1","None","","","357"
"109","052891","Canyon Hills High School","TGK2PN","American Sign Language 1,2","AM SIGN LG 1,2(P)","2385","Full Year","E","LOTE Level 1","None","","","357"
"110","052891","Canyon Hills High School","HF76CJ","French I ","EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4771","Full Year","E","LOTE Level 1","None","","","357"
"111","052891","Canyon Hills High School","HF76CJ","French I ","EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4772","Full Year","E","LOTE Level 1","None","","","357"
"112","052891","Canyon Hills High School","HF76CJ","French I ","EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4771R","Full Year","E","LOTE Level 1","None","","","357"
"113","052891","Canyon Hills High School","HF76CJ","French I ","EDG FRN I A,B (P),EDG FRN I A P,EDG FRN I B P,EDG FRN I A CR (P),EDG FRN I B CR (P)","4772R","Full Year","E","LOTE Level 1","None","","","357"
"114","052891","Canyon Hills High School","GH5BXT","Spanish 1,2","SPN 1-2 (P),SPN 1P,SPN 2P","2321","Full Year","E","LOTE Level 1","None","","","357"
"115","052891","Canyon Hills High School","GH5BXT","Spanish 1,2","SPN 1-2 (P),SPN 1P,SPN 2P","2322","Full Year","E","LOTE Level 1","None","","","357"
"116","052891","Canyon Hills High School","HJ2GCR","Spanish I ","EDG SPN I A, B (P),EDG SPN I A P,EDG SPN I B P,EDG SPN I A CR (P),EDG SPN I B CR (P)","4715","Full Year","E","LOTE Level 1","None","","","357"
"117","052891","Canyon Hills High School","HJ2GCR","Spanish I ","EDG SPN I A, B (P),EDG SPN I A P,EDG SPN I B P,EDG SPN I A CR (P),EDG SPN I B CR (P)","4716","Full Year","E","LOTE Level 1","None","","","357"
"118","052891","Canyon Hills High School","HJ2GCR","Spanish I ","EDG SPN I A, B (P),EDG SPN I A P,EDG SPN I B P,EDG SPN I A CR (P),EDG SPN I B CR (P)","4715R","Full Year","E","LOTE Level 1","None","","","357"
"119","052891","Canyon Hills High School","HJ2GCR","Spanish I ","EDG SPN I A, B (P),EDG SPN I A P,EDG SPN I B P,EDG SPN I A CR (P),EDG SPN I B CR (P)","4716R","Full Year","E","LOTE Level 1","None","","","357"
"120","052891","Canyon Hills High School","YBGHYJ","American Sign Language 3,4","AM SIGN LG 3,4 (P)","2386","Full Year","E","LOTE Level 2","None","","","357"
"121","052891","Canyon Hills High School","YBGHYJ","American Sign Language 3,4","AM SIGN LG 3,4 (P)","2387","Full Year","E","LOTE Level 2","None","","","357"
"122","052891","Canyon Hills High School","MS7K53","French II ","EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4773","Full Year","E","LOTE Level 2","None","","","357"
"123","052891","Canyon Hills High School","MS7K53","French II ","EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4774","Full Year","E","LOTE Level 2","None","","","357"
"124","052891","Canyon Hills High School","MS7K53","French II ","EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4773R","Full Year","E","LOTE Level 2","None","","","357"
"125","052891","Canyon Hills High School","MS7K53","French II ","EDG FRN II A, B (P),EDG FRN II A P,EDG FRN II B P,EDG FRN II A CR (P),EDG FRN II B CR (P)","4774R","Full Year","E","LOTE Level 2","None","","","357"
"126","052891","Canyon Hills High School","NQFEBZ","Spanish 3-4","SPN 3-4 (P),SPN 3P,SPN 4P","2323","Full Year","E","LOTE Level 2","None","","","357"
"127","052891","Canyon Hills High School","NQFEBZ","Spanish 3-4","SPN 3-4 (P),SPN 3P,SPN 4P","2324","Full Year","E","LOTE Level 2","None","","","357"
"128","052891","Canyon Hills High School","CTSA5H","Spanish II ","EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4717","Full Year","E","LOTE Level 2","None","","","357"
"129","052891","Canyon Hills High School","CTSA5H","Spanish II ","EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4718","Full Year","E","LOTE Level 2","None","","","357"
"130","052891","Canyon Hills High School","CTSA5H","Spanish II ","EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4717R","Full Year","E","LOTE Level 2","None","","","357"
"131","052891","Canyon Hills High School","CTSA5H","Spanish II ","EDG SPN II A P,EDG SPN II B P,EDG SPN II A CR (P),EDG SPN II B CR (P)","4718R","Full Year","E","LOTE Level 2","None","","","357"
"132","052891","Canyon Hills High School","RHCNQ5","French III ","EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4775","Full Year","E","LOTE Level 3","None","","","357"
"133","052891","Canyon Hills High School","RHCNQ5","French III ","EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4776","Full Year","E","LOTE Level 3","None","","","357"
"134","052891","Canyon Hills High School","RHCNQ5","French III ","EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4775R","Full Year","E","LOTE Level 3","None","","","357"
"135","052891","Canyon Hills High School","RHCNQ5","French III ","EDG FRN III A, B (P),EDG FRN III A CR (P),EDG FRN III B CR (P),EDG FRN III A P,EDG FRN III B P","4776R","Full Year","E","LOTE Level 3","None","","","357"
"136","052891","Canyon Hills High School","Q2QRN8","Spanish 5-6","SPN 5P,SPN 5,6 (P),SPN 6P","2325","Full Year","E","LOTE Level 3","None","","","357"
"137","052891","Canyon Hills High School","Q2QRN8","Spanish 5-6","SPN 5P,SPN 5,6 (P),SPN 6P","2326","Full Year","E","LOTE Level 3","None","","","357"
"138","052891","Canyon Hills High School","FDNXAH","Spanish III ","EDG SPN III A, B (P),EDG SPN III A P,EDG SPN III B P,EDG SPN III A CR (P),EDG SPN III B CR (P)","4722","Full Year","E","LOTE Level 3","None","","","357"
"139","052891","Canyon Hills High School","FDNXAH","Spanish III ","EDG SPN III A, B (P),EDG SPN III A P,EDG SPN III B P,EDG SPN III A CR (P),EDG SPN III B CR (P)","4723","Full Year","E","LOTE Level 3","None","","","357"
"140","052891","Canyon Hills High School","FDNXAH","Spanish III ","EDG SPN III A, B (P),EDG SPN III A P,EDG SPN III B P,EDG SPN III A CR (P),EDG SPN III B CR (P)","4722R","Full Year","E","LOTE Level 3","None","","","357"
"141","052891","Canyon Hills High School","FDNXAH","Spanish III ","EDG SPN III A, B (P),EDG SPN III A P,EDG SPN III B P,EDG SPN III A CR (P),EDG SPN III B CR (P)","4723R","Full Year","E","LOTE Level 3","None","","","357"
